Time,Deal,Symbol,Type,Direction,Volume,Price,Order,Commission,Swap,Profit,Balance,Comment
2018.01.01 00:00:00,1.0,,balance,,,,,0,0.0,10000.0,10000.0,
2018.01.02 17:53:20,2.0,USTEC,buy,in,2.3,6488.2,2.0,0,0.0,0.0,10000.0,
2018.01.02 23:50:00,3.0,USTEC,sell,out,2.3,6502.4,3.0,0,0.0,32.66,10032.66,
2018.01.03 18:09:40,4.0,USTEC,buy,in,2.2,6562.1,4.0,0,0.0,0.0,10032.66,
2018.01.03 23:50:00,5.0,USTEC,sell,out,2.2,6568.2,5.0,0,0.0,13.42,10046.08,
2018.01.04 16:43:40,6.0,USTEC,sell,in,2.2,6579.5,6.0,0,0.0,0.0,10046.08,
2018.01.04 23:50:00,7.0,USTEC,buy,out,2.2,6596.9,8.0,0,0.0,-38.28,10007.8,
2018.01.05 17:55:40,9.0,USTEC,buy,in,2.2,6627.0,9.0,0,0.0,0.0,10007.8,
2018.01.05 16:34:40,8.0,USTEC,sell,in,2.2,6609.0,10.0,0,0.0,0.0,10007.8,
2018.01.08 18:24:00,10.0,USTEC,buy,out,2.2,6675.09,12.0,0,10.94,-145.4,9873.34,sl 6675.09
2018.01.08 23:50:00,11.0,USTEC,sell,out,2.2,6677.2,13.0,0,-21.34,110.44,9962.44,
2018.01.09 20:03:40,12.0,USTEC,buy,in,2.2,6693.0,14.0,0,0.0,0.0,9962.44,
2018.01.09 23:50:00,13.0,USTEC,sell,out,2.2,6669.3,16.0,0,0.0,-52.14,9910.3,
2018.01.10 20:54:40,14.0,USTEC,buy,in,2.2,6659.2,17.0,0,0.0,0.0,9910.3,
2018.01.10 23:50:01,15.0,USTEC,sell,out,2.2,6666.2,19.0,0,0.0,15.4,9925.7,
2018.01.11 17:02:40,16.0,USTEC,buy,in,2.2,6686.8,20.0,0,0.0,0.0,9925.7,
2018.01.11 22:50:40,17.0,USTEC,buy,in,2.2,6704.0,21.0,0,0.0,0.0,9925.7,
2018.01.11 23:50:00,18.0,USTEC,sell,out,2.2,6716.1,23.0,0,0.0,64.46,9990.16,
2018.01.11 23:51:00,19.0,USTEC,sell,out,2.2,6716.1,24.0,0,0.0,26.62,10016.78,
2018.01.18 16:37:20,20.0,USTEC,buy,in,2.2,6808.6,26.0,0,0.0,0.0,10016.78,
2018.01.18 19:29:40,21.0,USTEC,buy,in,2.2,6815.8,27.0,0,0.0,0.0,10016.78,
2018.01.18 23:50:00,22.0,USTEC,sell,out,2.2,6800.8,29.0,0,0.0,-17.16,9999.62,
2018.01.18 23:51:00,23.0,USTEC,sell,out,2.2,6801.5,30.0,0,0.0,-31.46,9968.16,
2018.01.24 18:13:40,24.0,USTEC,sell,in,2.1,6954.5,32.0,0,0.0,0.0,9968.16,
2018.01.24 23:50:00,25.0,USTEC,buy,out,2.1,6924.1,33.0,0,0.0,63.84,10032.0,
2018.01.25 16:39:40,26.0,USTEC,sell,in,2.1,6949.4,35.0,0,0.0,0.0,10032.0,
2018.01.25 23:50:00,27.0,USTEC,buy,out,2.1,6926.6,36.0,0,0.0,47.88,10079.88,
2018.01.26 16:58:20,28.0,USTEC,buy,in,2.1,6960.9,37.0,0,0.0,0.0,10079.88,
2018.01.26 23:50:00,29.0,USTEC,sell,out,2.1,7022.1,38.0,0,0.0,128.52,10208.4,
2018.01.29 16:40:40,30.0,USTEC,buy,in,2.1,7008.3,39.0,0,0.0,0.0,10208.4,
2018.01.29 23:50:00,31.0,USTEC,sell,out,2.1,6984.2,40.0,0,0.0,-50.61,10157.79,
2018.01.30 18:09:40,32.0,USTEC,buy,in,2.1,6956.1,41.0,0,0.0,0.0,10157.79,
2018.01.30 23:50:00,33.0,USTEC,sell,out,2.1,6928.7,43.0,0,0.0,-57.54,10100.25,
2018.01.31 16:25:40,34.0,USTEC,buy,in,2.1,6970.2,44.0,0,0.0,0.0,10100.25,
2018.01.31 17:58:40,35.0,USTEC,sell,in,2.1,6955.0,46.0,0,0.0,0.0,10100.25,
2018.01.31 23:50:00,36.0,USTEC,sell,out,2.1,6915.3,47.0,0,0.0,-115.29,9984.96,
2018.01.31 23:51:00,37.0,USTEC,buy,out,2.1,6918.7,48.0,0,0.0,76.23,10061.19,
2018.02.01 17:50:40,38.0,USTEC,buy,in,2.1,6960.7,49.0,0,0.0,0.0,10061.19,
2018.02.01 19:00:40,39.0,USTEC,buy,in,2.1,6964.8,50.0,0,0.0,0.0,10061.19,
2018.02.01 22:32:40,40.0,USTEC,sell,out,2.1,6891.09,51.0,0,0.0,-146.18,9915.01,sl 6891.09
2018.02.01 22:32:40,41.0,USTEC,sell,out,2.1,6895.15,52.0,0,0.0,-146.27,9768.74,sl 6895.15
2018.02.02 16:35:40,42.0,USTEC,buy,in,2.1,6885.2,53.0,0,0.0,0.0,9768.74,
2018.02.02 16:51:40,43.0,USTEC,sell,in,2.1,6836.7,54.0,0,0.0,0.0,9768.74,
2018.02.02 17:03:40,44.0,USTEC,sell,out,2.1,6816.35,55.0,0,0.0,-144.59,9624.15,sl 6816.35
2018.02.02 23:50:00,45.0,USTEC,buy,out,2.1,6752.9,56.0,0,0.0,175.98,9800.13,
2018.02.06 21:55:40,46.0,USTEC,buy,in,2.2,6597.8,58.0,0,0.0,0.0,9800.13,
2018.02.06 23:50:00,47.0,USTEC,sell,out,2.2,6646.5,59.0,0,0.0,107.14,9907.27,
2018.02.15 16:50:20,48.0,USTEC,buy,in,2.2,6737.4,63.0,0,0.0,0.0,9907.27,
2018.02.15 18:03:40,49.0,USTEC,sell,out,2.2,6670.03,64.0,0,0.0,-148.21,9759.06,sl 6670.03
2018.02.21 18:00:20,50.0,USTEC,buy,in,2.1,6841.1,65.0,0,0.0,0.0,9759.06,
2018.02.21 18:25:40,51.0,USTEC,buy,in,2.1,6841.1,66.0,0,0.0,0.0,9759.06,
2018.02.21 22:56:40,52.0,USTEC,sell,out,2.1,6772.69,67.0,0,0.0,-143.66,9615.4,sl 6772.69
2018.02.21 22:56:40,53.0,USTEC,sell,out,2.1,6772.69,68.0,0,0.0,-143.66,9471.74,sl 6772.69
2018.02.26 18:32:20,54.0,USTEC,buy,in,2.0,6961.7,70.0,0,0.0,0.0,9471.74,
2018.02.26 23:50:00,55.0,USTEC,sell,out,2.0,6998.8,71.0,0,0.0,74.2,9545.94,
2018.02.27 16:32:20,56.0,USTEC,buy,in,2.0,6995.3,72.0,0,0.0,0.0,9545.94,
2018.02.27 16:54:40,57.0,USTEC,sell,in,2.0,6972.1,73.0,0,0.0,0.0,9545.94,
2018.02.27 19:18:40,58.0,USTEC,sell,out,2.0,6925.35,74.0,0,0.0,-139.9,9406.04,sl 6925.35
2018.02.27 23:50:00,59.0,USTEC,buy,out,2.0,6914.0,75.0,0,0.0,116.2,9522.24,
2018.02.28 16:54:40,60.0,USTEC,buy,in,2.0,6944.8,76.0,0,0.0,0.0,9522.24,
2018.02.28 17:57:20,61.0,USTEC,sell,in,2.0,6908.3,77.0,0,0.0,0.0,9522.24,
2018.02.28 20:59:40,62.0,USTEC,buy,in,2.0,6958.0,78.0,0,0.0,0.0,9522.24,
2018.02.28 22:45:40,63.0,USTEC,sell,out,2.0,6875.35,79.0,0,0.0,-138.9,9383.34,sl 6875.35
2018.02.28 22:45:40,64.0,USTEC,sell,out,2.0,6888.42,80.0,0,0.0,-139.16,9244.18,sl 6888.42
2018.02.28 23:50:00,65.0,USTEC,buy,out,2.0,6878.8,81.0,0,0.0,59.0,9303.18,
2018.03.05 17:56:40,66.0,USTEC,buy,in,2.0,6807.8,83.0,0,0.0,0.0,9303.18,
2018.03.05 23:50:00,67.0,USTEC,sell,out,2.0,6874.8,84.0,0,0.0,134.0,9437.18,
2018.03.07 16:31:40,68.0,USTEC,buy,in,2.0,6875.7,85.0,0,0.0,0.0,9437.18,
2018.03.07 22:05:40,69.0,USTEC,buy,in,2.0,6915.1,86.0,0,0.0,0.0,9437.18,
2018.03.07 23:50:00,70.0,USTEC,sell,out,2.0,6919.6,87.0,0,0.0,87.8,9524.98,
2018.03.07 23:51:00,71.0,USTEC,sell,out,2.0,6919.6,88.0,0,0.0,9.0,9533.98,
2018.03.08 16:35:40,72.0,USTEC,buy,in,2.0,6964.7,89.0,0,0.0,0.0,9533.98,
2018.03.08 17:06:40,73.0,USTEC,sell,in,2.0,6943.7,90.0,0,0.0,0.0,9533.98,
2018.03.08 23:50:00,74.0,USTEC,sell,out,2.0,6968.3,91.0,0,0.0,7.2,9541.18,
2018.03.08 23:51:00,75.0,USTEC,buy,out,2.0,6970.4,92.0,0,0.0,-53.4,9487.78,
2018.03.09 17:14:40,76.0,USTEC,buy,in,2.0,7032.4,93.0,0,0.0,0.0,9487.78,
2018.03.09 23:50:00,77.0,USTEC,sell,out,2.0,7093.6,94.0,0,0.0,122.4,9610.18,
2018.03.12 20:05:40,78.0,USTEC,buy,in,2.0,7150.8,95.0,0,0.0,0.0,9610.18,
2018.03.12 23:50:00,79.0,USTEC,sell,out,2.0,7133.2,97.0,0,0.0,-35.2,9574.98,
2018.03.13 21:51:40,80.0,USTEC,sell,in,2.0,7052.1,98.0,0,0.0,0.0,9574.98,
2018.03.13 23:50:00,81.0,USTEC,buy,out,2.0,7045.6,99.0,0,0.0,13.0,9587.98,
2018.03.14 16:14:40,82.0,USTEC,sell,in,2.0,7071.0,101.0,0,0.0,0.0,9587.98,
2018.03.14 23:50:00,83.0,USTEC,buy,out,2.0,7037.0,102.0,0,0.0,68.0,9655.98,
2018.03.15 17:29:40,85.0,USTEC,buy,in,2.0,7049.7,103.0,0,0.0,0.0,9655.98,
2018.03.15 16:45:40,84.0,USTEC,sell,in,2.0,7021.3,104.0,0,0.0,0.0,9655.98,
2018.03.15 23:50:00,86.0,USTEC,sell,out,2.0,7050.0,105.0,0,0.0,0.6,9656.58,
2018.03.15 23:51:00,87.0,USTEC,buy,out,2.0,7052.1,106.0,0,0.0,-61.6,9594.98,
2018.03.21 21:41:40,88.0,USTEC,sell,in,2.0,6859.5,107.0,0,0.0,0.0,9594.98,
2018.03.21 23:50:00,89.0,USTEC,buy,out,2.0,6862.9,108.0,0,0.0,-6.8,9588.18,
2018.03.22 15:40:40,90.0,USTEC,sell,in,2.1,6772.0,110.0,0,0.0,0.0,9588.18,
2018.03.22 23:50:00,91.0,USTEC,buy,out,2.1,6674.2,111.0,0,0.0,205.38,9793.56,
2018.03.27 17:11:40,92.0,USTEC,sell,in,2.1,6760.7,113.0,0,0.0,0.0,9793.56,
2018.03.27 23:50:00,93.0,USTEC,buy,out,2.1,6531.6,114.0,0,0.0,481.11,10274.67,
2018.03.28 19:20:40,94.0,USTEC,buy,in,2.3,6560.9,115.0,0,0.0,0.0,10274.67,
2018.03.28 19:48:40,95.0,USTEC,sell,out,2.3,6495.29,116.0,0,0.0,-150.9,10123.77,sl 6495.29
2018.03.29 17:51:40,96.0,USTEC,buy,in,2.3,6527.0,117.0,0,0.0,0.0,10123.77,
2018.03.29 23:50:00,97.0,USTEC,sell,out,2.3,6560.0,118.0,0,0.0,75.9,10199.67,
2018.04.02 17:02:40,98.0,USTEC,sell,in,2.3,6483.2,119.0,0,0.0,0.0,10199.67,
2018.04.02 23:50:00,99.0,USTEC,buy,out,2.3,6395.6,120.0,0,0.0,201.48,10401.15,
2018.04.04 15:51:40,100.0,USTEC,buy,in,2.4,6359.7,121.0,0,0.0,0.0,10401.15,
2018.04.04 17:10:40,101.0,USTEC,buy,in,2.4,6388.9,122.0,0,0.0,0.0,10401.15,
2018.04.04 17:49:40,102.0,USTEC,buy,in,2.4,6398.5,123.0,0,0.0,0.0,10401.15,
2018.04.04 23:50:00,103.0,USTEC,sell,out,2.4,6569.7,124.0,0,0.0,504.0,10905.15,
2018.04.04 23:50:00,104.0,USTEC,sell,out,2.4,6569.7,125.0,0,0.0,410.88,11316.03,
2018.04.04 23:51:00,105.0,USTEC,sell,out,2.4,6570.3,126.0,0,0.0,435.36,11751.39,
2018.04.06 16:36:40,106.0,USTEC,buy,in,2.6,6558.1,128.0,0,0.0,0.0,11751.39,
2018.04.06 18:02:40,107.0,USTEC,sell,in,2.7,6504.1,129.0,0,0.0,0.0,11751.39,
2018.04.06 20:39:40,108.0,USTEC,sell,in,2.7,6501.9,131.0,0,0.0,0.0,11751.39,
2018.04.06 20:41:40,109.0,USTEC,sell,out,2.6,6492.52,132.0,0,0.0,-170.51,11580.88,sl 6492.52
2018.04.06 23:50:00,110.0,USTEC,buy,out,2.7,6444.2,133.0,0,0.0,161.73,11742.61,
2018.04.06 23:51:00,111.0,USTEC,buy,out,2.7,6443.1,134.0,0,0.0,158.76,11901.37,
2018.04.11 16:30:40,112.0,USTEC,buy,in,2.7,6588.4,135.0,0,0.0,0.0,11901.37,
2018.04.11 22:16:40,113.0,USTEC,sell,in,2.7,6580.4,137.0,0,0.0,0.0,11901.37,
2018.04.11 23:50:00,114.0,USTEC,sell,out,2.7,6582.0,138.0,0,0.0,-17.28,11884.09,
2018.04.11 23:51:00,115.0,USTEC,buy,out,2.7,6583.4,139.0,0,0.0,-8.1,11875.99,
2018.04.12 15:33:40,116.0,USTEC,buy,in,2.6,6627.2,140.0,0,0.0,0.0,11875.99,
2018.04.12 23:50:00,117.0,USTEC,sell,out,2.6,6660.3,142.0,0,0.0,86.06,11962.05,
2018.04.13 17:08:40,118.0,USTEC,sell,in,2.6,6658.3,144.0,0,0.0,0.0,11962.05,
2018.04.13 23:50:00,119.0,USTEC,buy,out,2.6,6632.1,145.0,0,0.0,68.12,12030.17,
2018.04.16 15:53:40,120.0,USTEC,buy,in,2.7,6679.6,146.0,0,0.0,0.0,12030.17,
2018.04.16 16:36:40,121.0,USTEC,sell,in,2.7,6660.5,147.0,0,0.0,0.0,12030.17,
2018.04.16 23:50:00,122.0,USTEC,sell,out,2.7,6695.3,148.0,0,0.0,42.39,12072.56,
2018.04.16 23:51:00,123.0,USTEC,buy,out,2.7,6697.2,149.0,0,0.0,-99.09,11973.47,
2018.04.18 19:18:40,124.0,USTEC,buy,in,2.6,6848.4,150.0,0,0.0,0.0,11973.47,
2018.04.18 23:50:00,125.0,USTEC,sell,out,2.6,6836.0,152.0,0,0.0,-32.24,11941.23,
2018.04.19 15:41:40,126.0,USTEC,sell,in,2.6,6810.9,154.0,0,0.0,0.0,11941.23,
2018.04.19 23:50:00,127.0,USTEC,buy,out,2.6,6770.7,155.0,0,0.0,104.52,12045.75,
2018.04.23 17:48:20,129.0,USTEC,buy,in,2.6,6700.5,156.0,0,0.0,0.0,12045.75,
2018.04.23 16:50:40,128.0,USTEC,sell,in,2.7,6668.6,157.0,0,0.0,0.0,12045.75,
2018.04.23 21:13:40,130.0,USTEC,sell,out,2.6,6633.5,158.0,0,0.0,-174.2,11871.55,sl 6633.50
2018.04.23 23:50:00,131.0,USTEC,buy,out,2.7,6658.1,159.0,0,0.0,28.35,11899.9,
2018.04.25 18:01:40,132.0,USTEC,buy,in,2.7,6519.8,160.0,0,0.0,0.0,11899.9,
2018.04.25 23:50:00,133.0,USTEC,sell,out,2.7,6564.1,162.0,0,0.0,119.61,12019.51,
2018.04.27 16:34:40,134.0,USTEC,sell,in,2.6,6728.2,163.0,0,0.0,0.0,12019.51,
2018.04.27 23:50:00,135.0,USTEC,buy,out,2.6,6666.8,164.0,0,0.0,159.64,12179.15,
2018.04.30 17:03:40,136.0,USTEC,buy,in,2.7,6706.8,165.0,0,0.0,0.0,12179.15,
2018.04.30 18:47:20,137.0,USTEC,sell,out,2.7,6639.73,166.0,0,0.0,-181.09,11998.06,sl 6639.73
2018.05.01 16:56:40,138.0,USTEC,buy,in,2.7,6613.7,167.0,0,0.0,0.0,11998.06,
2018.05.01 23:50:00,139.0,USTEC,sell,out,2.7,6719.0,169.0,0,0.0,284.31,12282.37,
2018.05.02 15:33:40,140.0,USTEC,sell,in,2.7,6699.9,171.0,0,0.0,0.0,12282.37,
2018.05.02 23:50:00,141.0,USTEC,buy,out,2.7,6627.9,172.0,0,0.0,194.4,12476.77,
2018.05.03 17:23:40,142.0,USTEC,sell,in,2.8,6588.0,173.0,0,0.0,0.0,12476.77,
2018.05.03 20:34:40,143.0,USTEC,buy,out,2.8,6653.88,174.0,0,0.0,-184.46,12292.31,sl 6653.88
2018.05.04 16:45:40,145.0,USTEC,buy,in,2.7,6656.6,175.0,0,0.0,0.0,12292.31,
2018.05.04 15:40:40,144.0,USTEC,sell,in,2.7,6625.8,176.0,0,0.0,0.0,12292.31,
2018.05.04 17:25:40,146.0,USTEC,buy,out,2.7,6692.06,177.0,0,0.0,-178.9,12113.41,sl 6692.06
2018.05.04 23:50:00,147.0,USTEC,sell,out,2.7,6774.5,178.0,0,0.0,318.33,12431.74,
2018.05.08 18:16:40,149.0,USTEC,buy,in,2.7,6832.3,179.0,0,0.0,0.0,12431.74,
2018.05.08 10:32:40,148.0,USTEC,sell,in,2.7,6821.3,180.0,0,0.0,0.0,12431.74,
2018.05.08 23:50:00,150.0,USTEC,sell,out,2.7,6817.2,181.0,0,0.0,-40.77,12390.97,
2018.05.08 23:51:00,151.0,USTEC,buy,out,2.7,6819.4,182.0,0,0.0,5.13,12396.1,
2018.05.09 19:23:40,152.0,USTEC,buy,in,2.7,6846.1,183.0,0,0.0,0.0,12396.1,
2018.05.09 23:50:00,153.0,USTEC,sell,out,2.7,6893.5,184.0,0,0.0,127.98,12524.08,
2018.05.10 15:42:40,154.0,USTEC,buy,in,2.7,6912.6,185.0,0,0.0,0.0,12524.08,
2018.05.10 23:50:00,155.0,USTEC,sell,out,2.7,6955.1,187.0,0,0.0,114.75,12638.83,
2018.05.16 17:34:40,156.0,USTEC,buy,in,2.7,6919.7,189.0,0,0.0,0.0,12638.83,
2018.05.16 23:50:00,157.0,USTEC,sell,out,2.7,6928.7,190.0,0,0.0,24.3,12663.13,
2018.05.17 16:33:40,159.0,USTEC,buy,in,2.7,6909.5,191.0,0,0.0,0.0,12663.13,
2018.05.17 15:32:40,158.0,USTEC,sell,in,2.7,6897.4,192.0,0,0.0,0.0,12663.13,
2018.05.17 23:50:00,160.0,USTEC,sell,out,2.7,6897.8,193.0,0,0.0,-31.59,12631.54,
2018.05.17 23:51:00,161.0,USTEC,buy,out,2.7,6899.4,194.0,0,0.0,-5.4,12626.14,
2018.05.23 17:07:40,162.0,USTEC,buy,in,2.7,6873.2,195.0,0,0.0,0.0,12626.14,
2018.05.23 18:47:40,163.0,USTEC,buy,in,2.7,6891.2,196.0,0,0.0,0.0,12626.14,
2018.05.23 23:50:00,164.0,USTEC,sell,out,2.7,6946.5,197.0,0,0.0,197.91,12824.05,
2018.05.23 23:51:00,165.0,USTEC,sell,out,2.7,6946.6,198.0,0,0.0,149.58,12973.63,
2018.05.24 17:25:40,166.0,USTEC,sell,in,2.8,6906.9,199.0,0,0.0,0.0,12973.63,
2018.05.24 23:50:00,167.0,USTEC,buy,out,2.8,6953.6,200.0,0,0.0,-130.76,12842.87,
2018.05.25 17:31:40,168.0,USTEC,buy,in,2.7,6982.2,201.0,0,0.0,0.0,12842.87,
2018.05.25 23:50:00,169.0,USTEC,sell,out,2.7,6956.3,203.0,0,0.0,-69.93,12772.94,
2018.05.29 17:04:40,170.0,USTEC,buy,in,2.7,6959.2,204.0,0,0.0,0.0,12772.94,
2018.05.29 19:11:20,171.0,USTEC,sell,out,2.7,6889.61,205.0,0,0.0,-187.89,12585.05,sl 6889.61
2018.05.30 17:43:40,173.0,USTEC,buy,in,2.7,6971.3,206.0,0,0.0,0.0,12585.05,
